Work_Order_ID,Program_Name,Platform,Production_Cell,Operation_Step,Component_Type,Supplier,Machine_ID,Machine_Status,Quality_Flag,Defect_Type,Inventory_Level,Reorder_Point,Supplier_Risk,Supplier_Lead_Time_Days,Single_Source_Supplier,Critical_Material_Flag,Cycle_Time_Hours,Queue_Time_Hours,Labor_Hours_Required,Workforce_Availability,Inspection_Backlog_Hours,First_Pass_Yield,Mission_Priority,Delivery_Deadline_Days,Recovery_Cost,Alternate_Route_Available,Alternate_Supplier_Available,Overtime_Available,Estimated_Delay_Hours,Contract_Delivery_Risk,Operational_Risk,Readiness_Impact,Risk_Level,Recovery_Confidence,Estimated_Recovery_Hours,Primary_Disruption,Recovery_Priority,Escalation_Required,Bottleneck_Severity
WO-10079,Radar Modernization,Radar System,Surface Treatment,Subsystem Integration,Flight Control Bracket,Northline Components,M-22,Operational,Rework,Surface Finish,158,47,0.46,17,No,No,3.4,13.2,19.2,0.76,10.3,0.94,5,5,28587,Yes,No,No,30,Controlled,31.1,31.1,Low,0.53,23,Nominal,Moderate,False,30.6
WO-10080,Radar Modernization,Radar System,Final Assembly,Subsystem Integration,Power Unit,Vector Metals,M-18,Operational,Inspection Hold,Foreign Object Debris,152,36,0.21,23,No,No,21.3,19.6,11.3,0.73,10.7,0.85,5,3,66884,No,Yes,Yes,43,Elevated,35.4,40.7,Moderate,0.67,30,Quality / Inspection,Moderate,False,39.6
WO-10081,Radar Modernization,Avionics Kit,Systems Integration,CNC Machining,Navigation Board,Orion Plating,M-22,Operational,Pass,None,158,33,0.38,12,Yes,Yes,27.7,3.6,4.2,0.89,11.3,0.94,1,4,48241,No,No,Yes,31,Controlled,49.8,10.0,Moderate,0.39,26,Supply Chain Constraint,Routine,False,35.4
WO-10082,Avionics Retrofit,Ground Vehicle,Machining,Quality Inspection,Flight Control Bracket,Delta Circuits,M-11,Operational,Pass,None,82,64,0.24,28,Yes,No,10.6,25.0,19.1,0.74,7.9,0.88,1,34,18205,No,No,Yes,31,Controlled,42.5,8.5,Moderate,0.39,26,Supply Chain Constraint,Routine,False,32.2
WO-10083,Radar Modernization,Radar System,Surface Treatment,Surface Finish,Power Unit,Delta Circuits,M-15,Operational,Pass,None,33,56,0.17,23,No,No,3.9,16.6,9.9,0.77,7.6,0.85,4,37,56360,Yes,No,Yes,32,Controlled,44.9,35.9,Moderate,0.67,22,Material Shortage,Moderate,False,37.7
WO-10084,Avionics Retrofit,Ground Vehicle,Inspection,Electronics Install,Radar Housing,Northline Components,M-17,Operational,Inspection Hold,Coating Defect,176,72,0.29,34,No,Yes,15.4,17.9,20.4,0.84,19.4,0.91,3,21,45200,Yes,Yes,Yes,56,Controlled,51.4,30.8,Moderate,0.85,35,Quality / Inspection,Moderate,False,50.4
WO-10085,Tactical UAV Production,Radar System,Surface Treatment,Final Assembly,Power Unit,Orion Plating,M-17,Operational,Pass,None,10,73,0.57,13,Yes,No,10.5,23.5,10.0,0.94,7.7,0.93,5,24,13839,No,No,Yes,44,Controlled,64.8,64.8,Moderate,0.39,36,Supply Chain Constraint,High,False,55.4
WO-10086,Ground Sensor Platform,Radar System,Machining,Surface Finish,Actuator Assembly,Delta Circuits,M-15,Down,Pass,None,112,25,0.39,59,No,No,26.3,8.1,12.3,0.95,3.7,0.9,2,44,35050,No,No,Yes,49,Controlled,45.8,18.3,Moderate,0.49,38,Machine Downtime,Routine,True,43.1
WO-10087,Mission Systems Upgrade,Sensor Package,Avionics Assembly,Subsystem Integration,Radar Housing,Northline Components,M-05,Operational,Pass,None,98,45,0.8,27,No,Yes,5.3,7.6,18.9,0.8,6.0,0.92,5,26,15321,Yes,Yes,Yes,29,Controlled,45.4,45.4,Moderate,0.85,18,Supply Chain Constraint,High,False,38.0
WO-10088,Tactical UAV Production,Sensor Package,Surface Treatment,Material Prep,Radar Housing,AeroForge,M-22,Operational,Pass,None,112,26,0.18,51,No,No,13.5,3.5,18.0,0.97,4.2,0.81,3,40,26942,Yes,Yes,Yes,8,Controlled,19.9,11.9,Low,0.85,5,Yield Loss,Routine,False,13.3
WO-10089,Tactical UAV Production,Ground Vehicle,Surface Treatment,Acceptance Test,Navigation Board,Summit Electronics,M-12,Operational,Rework,Electrical,175,48,0.28,45,Yes,Yes,20.5,1.6,10.5,0.91,13.8,0.91,2,24,61262,No,Yes,Yes,40,Controlled,51.9,20.8,Moderate,0.57,30,Supply Chain Constraint,Routine,False,41.9
WO-10090,Ground Sensor Platform,Radar System,Systems Integration,CNC Machining,Radar Housing,Summit Electronics,M-06,Operational,Pass,None,35,45,0.36,12,No,Yes,26.2,1.6,20.5,0.93,2.2,0.93,5,33,72839,No,No,Yes,37,Controlled,53.9,53.9,Moderate,0.49,29,Material Shortage,High,False,46.3
WO-10091,Tactical UAV Production,Avionics Kit,Surface Treatment,Material Prep,Power Unit,Summit Electronics,M-15,Operational,Pass,None,123,53,0.18,41,Yes,No,24.1,17.5,12.0,0.83,19.5,0.9,4,3,29251,Yes,Yes,Yes,23,Controlled,31.5,25.2,Low,0.75,15,Supply Chain Constraint,Moderate,False,26.7
WO-10092,Ground Sensor Platform,UAV,Final Assembly,CNC Machining,Navigation Board,Summit Electronics,M-16,Degraded,Inspection Hold,Electrical,74,64,0.54,18,No,Yes,20.0,35.6,4.6,0.63,11.1,0.87,2,5,32598,No,Yes,Yes,77,Elevated,71.9,33.1,High,0.67,54,Quality / Inspection,Moderate,False,68.4
WO-10093,Ground Sensor Platform,Ground Vehicle,Systems Integration,Surface Finish,Thermal Shield,AeroForge,M-11,Down,Rework,Electrical,51,57,0.32,24,No,Yes,6.0,25.1,2.5,0.73,4.2,0.89,5,31,32540,Yes,Yes,Yes,92,Controlled,84.6,84.6,High,0.85,57,Machine Downtime,Critical,True,87.9
WO-10094,Radar Modernization,Radar System,Final Assembly,Surface Finish,Actuator Assembly,Orion Plating,M-03,Operational,Pass,None,88,37,0.45,22,No,No,15.8,21.8,1.9,0.75,7.1,0.88,2,33,9770,No,No,Yes,23,Controlled,33.7,13.5,Low,0.49,18,Nominal,Routine,False,25.9
WO-10095,Radar Modernization,Sensor Package,Avionics Assembly,Acceptance Test,Flight Control Bracket,Orion Plating,M-19,Operational,Pass,None,54,71,0.94,45,No,No,5.8,12.8,21.7,0.68,8.9,0.93,1,24,25982,Yes,No,Yes,46,Controlled,72.8,14.6,High,0.67,32,Supply Chain Constraint,Routine,False,52.0
WO-10096,Radar Modernization,UAV,Avionics Assembly,Quality Inspection,Navigation Board,Summit Electronics,M-07,Operational,Pass,None,13,29,0.6,5,No,No,8.7,18.7,19.1,0.81,6.6,0.94,5,39,30766,Yes,No,Yes,38,Controlled,53.9,53.9,Moderate,0.67,27,Material Shortage,High,False,46.7
WO-10097,Tactical UAV Production,UAV,Surface Treatment,Electronics Install,Sensor Mount,Northline Components,M-05,Degraded,Pass,None,90,34,0.44,25,No,Yes,20.6,17.3,8.9,0.96,13.2,0.82,2,4,67756,Yes,Yes,Yes,32,Controlled,46.5,18.6,Moderate,0.85,20,Nominal,Routine,False,35.8
WO-10098,Mission Systems Upgrade,Radar System,Inspection,Quality Inspection,Actuator Assembly,Vector Metals,M-04,Operational,Pass,None,172,71,0.29,13,No,No,10.9,6.7,12.1,0.85,13.6,0.84,4,17,3524,No,Yes,Yes,14,Controlled,23.3,18.6,Low,0.67,10,Nominal,Routine,False,18.4
WO-10099,Ground Sensor Platform,Radar System,Machining,Surface Finish,Flight Control Bracket,Orion Plating,M-01,Operational,Pass,None,55,34,0.31,28,No,Yes,4.3,1.9,5.6,0.93,9.9,0.97,2,4,39055,Yes,Yes,No,24,Controlled,33.7,13.5,Low,0.71,16,Nominal,Routine,False,26.3
WO-10100,Mission Systems Upgrade,Ground Vehicle,Surface Treatment,Acceptance Test,Guidance Module,Vector Metals,M-03,Degraded,Rework,Foreign Object Debris,146,63,0.56,21,Yes,No,22.0,4.3,15.0,0.76,16.3,0.92,5,28,40157,Yes,Yes,Yes,54,Controlled,55.4,55.4,Moderate,0.75,36,Supply Chain Constraint,High,False,54.8
WO-10101,Mission Systems Upgrade,Sensor Package,Avionics Assembly,Electronics Install,Sensor Mount,Delta Circuits,M-23,Operational,Pass,None,77,27,0.51,53,No,No,10.5,18.6,10.1,0.75,9.5,0.82,4,17,46607,Yes,No,Yes,24,Controlled,34.7,27.8,Low,0.67,17,Nominal,Moderate,False,28.8
WO-10102,Tactical UAV Production,Sensor Package,Surface Treatment,Electronics Install,Navigation Board,Northline Components,M-20,Operational,Scrap Risk,Electrical,176,51,0.18,17,No,Yes,26.2,5.0,13.1,0.93,4.9,0.88,5,10,61652,Yes,No,Yes,55,Controlled,46.3,46.3,Moderate,0.55,41,Quality / Inspection,High,True,50.2
WO-10103,Radar Modernization,UAV,Machining,Electronics Install,Navigation Board,Delta Circuits,M-21,Operational,Pass,None,53,41,0.42,23,No,Yes,4.7,36.0,10.8,0.96,5.3,0.97,4,41,8862,Yes,No,No,25,Controlled,33.9,27.1,Low,0.53,19,Nominal,Moderate,False,28.9
WO-10104,Radar Modernization,Radar System,Surface Treatment,Quality Inspection,Sensor Mount,Orion Plating,M-10,Operational,Pass,None,106,69,0.23,31,Yes,Yes,19.0,12.9,14.9,0.77,19.2,0.91,4,19,66029,Yes,Yes,Yes,33,Controlled,43.8,35.0,Moderate,0.75,22,Supply Chain Constraint,Moderate,False,37.6
WO-10105,Avionics Retrofit,Radar System,Surface Treatment,Final Assembly,Radar Housing,Vector Metals,M-09,Operational,Pass,None,127,44,0.2,43,No,No,11.0,19.7,17.3,0.84,13.4,0.94,2,15,40343,No,No,Yes,12,Controlled,19.5,7.8,Low,0.49,9,Nominal,Routine,False,14.4
WO-10106,Mission Systems Upgrade,Sensor Package,Surface Treatment,Subsystem Integration,Navigation Board,Orion Plating,M-11,Operational,Pass,None,87,53,0.16,43,No,No,24.6,23.0,14.1,0.94,17.5,0.93,4,4,5141,Yes,Yes,No,17,Controlled,18.6,14.9,Low,0.71,12,Nominal,Routine,False,17.3
WO-10107,Avionics Retrofit,UAV,Inspection,CNC Machining,Navigation Board,Vector Metals,M-17,Operational,Rework,Electrical,135,59,0.41,10,No,Yes,9.6,35.0,16.0,0.87,16.2,0.78,4,4,7779,Yes,Yes,No,34,Elevated,45.2,41.6,Moderate,0.71,23,Yield Loss,Moderate,False,39.6
WO-10108,Radar Modernization,Sensor Package,Systems Integration,CNC Machining,Sensor Mount,Delta Circuits,M-12,Operational,Inspection Hold,Foreign Object Debris,22,41,0.56,35,No,No,27.9,3.8,9.4,0.7,7.6,0.86,3,14,15153,No,No,No,67,Controlled,74.7,44.8,High,0.35,56,Quality / Inspection,Moderate,False,66.8
WO-10109,Mission Systems Upgrade,UAV,Surface Treatment,Material Prep,Sensor Mount,Orion Plating,M-02,Operational,Pass,None,78,74,0.2,11,No,No,17.1,14.2,18.4,0.78,10.9,0.9,1,11,65447,Yes,No,Yes,20,Controlled,26.8,5.4,Low,0.67,14,Nominal,Routine,False,20.5
WO-10110,Ground Sensor Platform,UAV,Avionics Assembly,Subsystem Integration,Actuator Assembly,Summit Electronics,M-07,Degraded,Pass,None,5,28,0.87,43,Yes,Yes,3.5,30.9,6.3,0.83,8.5,0.93,5,40,37945,Yes,No,Yes,70,Controlled,92.3,92.3,High,0.57,52,Supply Chain Constraint,Critical,True,82.3
WO-10111,Tactical UAV Production,Radar System,Surface Treatment,Electronics Install,Radar Housing,Summit Electronics,M-03,Degraded,Inspection Hold,Coating Defect,128,63,0.31,19,No,No,14.0,12.4,7.8,0.81,9.8,0.81,5,39,17868,Yes,No,No,54,Controlled,45.3,45.3,Moderate,0.53,41,Quality / Inspection,High,False,49.2
WO-10112,Ground Sensor Platform,Ground Vehicle,Inspection,CNC Machining,Power Unit,AeroForge,M-03,Operational,Pass,None,13,33,0.07,59,No,Yes,17.4,27.5,8.9,0.7,21.9,0.92,5,13,31236,Yes,No,Yes,41,Controlled,49.5,49.5,Moderate,0.67,29,Material Shortage,High,False,45.7
WO-10113,Ground Sensor Platform,Sensor Package,Systems Integration,Electronics Install,Navigation Board,Vector Metals,M-19,Operational,Rework,Dimensional,102,52,0.43,52,No,No,27.3,15.6,12.5,0.79,3.7,0.86,2,44,40753,Yes,No,Yes,28,Controlled,36.6,14.6,Moderate,0.67,20,Nominal,Routine,False,29.4
WO-10114,Ground Sensor Platform,Sensor Package,Inspection,Final Assembly,Radar Housing,AeroForge,M-21,Operational,Pass,None,24,28,0.33,51,No,No,20.7,21.5,8.1,0.9,29.1,0.84,4,11,50665,Yes,No,No,34,Controlled,50.2,40.2,Moderate,0.53,26,Material Shortage,Moderate,False,41.4
WO-10115,Tactical UAV Production,Radar System,Inspection,Quality Inspection,Power Unit,Vector Metals,M-12,Operational,Pass,None,15,27,0.21,51,No,No,20.7,23.5,17.7,0.87,20.8,0.84,3,35,9836,Yes,No,No,31,Controlled,47.2,28.3,Moderate,0.53,24,Material Shortage,Moderate,False,37.1
WO-10116,Radar Modernization,UAV,Machining,Electronics Install,Power Unit,Delta Circuits,M-06,Degraded,Pass,None,171,66,0.43,57,No,No,24.5,26.3,12.2,0.82,1.5,0.86,3,18,16494,Yes,No,Yes,27,Controlled,34.6,20.8,Low,0.67,19,Nominal,Routine,False,29.1
WO-10117,Mission Systems Upgrade,UAV,Machining,CNC Machining,Flight Control Bracket,AeroForge,M-19,Operational,Pass,None,159,63,0.54,36,No,No,12.5,2.8,20.4,0.97,5.7,0.92,1,29,17851,No,No,Yes,14,Controlled,31.0,6.2,Low,0.49,11,Nominal,Routine,False,19.6
WO-10118,Mission Systems Upgrade,Ground Vehicle,Avionics Assembly,Final Assembly,Actuator Assembly,Delta Circuits,M-20,Down,Rework,Foreign Object Debris,14,57,0.67,56,No,No,12.9,5.2,3.5,0.75,13.9,0.82,1,12,68814,Yes,Yes,Yes,91,Controlled,94.9,19.0,High,0.85,56,Machine Downtime,Routine,True,81.8
WO-10119,Avionics Retrofit,Sensor Package,Machining,Quality Inspection,Flight Control Bracket,Summit Electronics,M-10,Down,Pass,None,32,27,0.56,54,No,No,18.6,25.2,1.8,0.99,6.3,0.95,1,18,26414,Yes,No,Yes,57,Controlled,54.0,10.8,Moderate,0.67,40,Machine Downtime,Routine,True,48.9
WO-10120,Tactical UAV Production,Avionics Kit,Systems Integration,CNC Machining,Guidance Module,Northline Components,M-21,Down,Pass,None,74,47,0.44,14,No,No,15.0,23.5,21.0,0.73,13.1,0.82,2,14,21015,Yes,No,Yes,63,Controlled,57.5,23.0,Moderate,0.67,44,Machine Downtime,Routine,True,54.8
WO-10121,Radar Modernization,Ground Vehicle,Surface Treatment,Quality Inspection,Power Unit,Delta Circuits,M-10,Operational,Rework,Electrical,139,29,0.43,9,Yes,No,21.5,29.9,12.7,0.9,15.1,0.93,5,42,11365,No,Yes,No,37,Controlled,42.6,42.6,Moderate,0.43,30,Supply Chain Constraint,Moderate,False,40.1
WO-10122,Ground Sensor Platform,UAV,Inspection,Surface Finish,Radar Housing,Northline Components,M-11,Operational,Pass,None,42,33,0.23,9,No,No,19.0,5.4,7.6,0.96,11.8,0.8,3,42,70831,No,Yes,Yes,16,Controlled,25.8,15.5,Low,0.67,11,Yield Loss,Routine,False,19.8
WO-10123,Ground Sensor Platform,Sensor Package,Systems Integration,Electronics Install,Radar Housing,AeroForge,M-04,Operational,Pass,None,153,36,0.65,7,No,No,14.8,28.1,7.1,0.79,5.2,0.95,2,26,62172,No,No,No,19,Controlled,33.8,13.5,Low,0.35,16,Nominal,Routine,False,24.1
WO-10124,Avionics Retrofit,Avionics Kit,Final Assembly,Acceptance Test,Power Unit,AeroForge,M-10,Operational,Pass,None,68,42,0.36,41,Yes,No,25.1,23.1,12.2,0.73,8.6,0.85,2,13,62162,Yes,No,No,33,Controlled,46.0,18.4,Moderate,0.43,27,Supply Chain Constraint,Routine,False,36.0
WO-10125,Radar Modernization,Avionics Kit,Inspection,Surface Finish,Flight Control Bracket,Orion Plating,M-21,Operational,Pass,None,175,64,0.32,14,No,No,23.2,27.1,10.8,0.96,17.9,0.83,5,25,10180,Yes,No,Yes,12,Controlled,21.7,21.7,Low,0.67,8,Nominal,Routine,False,17.3
WO-10126,Avionics Retrofit,Radar System,Machining,CNC Machining,Sensor Mount,Northline Components,M-19,Down,Pass,None,117,28,0.42,26,No,No,12.4,17.5,13.4,0.86,5.2,0.95,3,32,56559,Yes,No,No,53,Controlled,45.5,27.3,Moderate,0.53,40,Machine Downtime,Moderate,True,46.1
WO-10127,Tactical UAV Production,Ground Vehicle,Surface Treatment,Quality Inspection,Flight Control Bracket,Orion Plating,M-18,Operational,Pass,None,142,58,0.23,31,No,No,24.8,35.5,19.4,0.79,17.1,0.79,3,42,31014,No,No,Yes,15,Controlled,25.6,15.4,Low,0.49,12,Yield Loss,Routine,False,19.3
WO-10128,Ground Sensor Platform,Avionics Kit,Inspection,Subsystem Integration,Actuator Assembly,AeroForge,M-11,Operational,Pass,None,62,36,0.12,35,No,Yes,8.5,5.9,19.1,0.76,20.1,0.92,4,19,3380,Yes,No,No,27,Controlled,29.5,23.6,Low,0.53,21,Nominal,Routine,False,27.5
WO-10129,Ground Sensor Platform,Ground Vehicle,Inspection,Electronics Install,Guidance Module,Delta Circuits,M-18,Operational,Pass,None,61,31,0.21,33,Yes,Yes,16.4,12.7,7.1,0.83,13.6,0.83,5,13,53735,Yes,Yes,No,35,Controlled,45.7,45.7,Moderate,0.61,25,Supply Chain Constraint,High,False,40.9
WO-10130,Radar Modernization,Sensor Package,Inspection,Final Assembly,Flight Control Bracket,Vector Metals,M-19,Operational,Pass,None,148,34,0.25,59,Yes,No,23.8,3.8,19.6,0.92,27.4,0.86,1,25,51376,Yes,No,No,23,Controlled,39.0,7.8,Moderate,0.43,19,Supply Chain Constraint,Routine,False,27.1
WO-10131,Avionics Retrofit,Radar System,Inspection,Material Prep,Radar Housing,Northline Components,M-22,Operational,Pass,None,21,58,0.39,49,Yes,No,25.1,2.7,17.0,0.8,23.0,0.82,5,7,21331,Yes,Yes,Yes,46,Controlled,65.5,65.5,High,0.75,30,Supply Chain Constraint,High,False,56.7
WO-10132,Radar Modernization,Radar System,Machining,Surface Finish,Guidance Module,Orion Plating,M-16,Degraded,Pass,None,136,51,0.61,29,No,Yes,21.2,35.6,18.9,0.88,6.6,0.89,2,25,51762,No,No,Yes,36,Controlled,50.3,20.1,Moderate,0.49,28,Nominal,Routine,False,39.3
WO-10133,Avionics Retrofit,Ground Vehicle,Inspection,Subsystem Integration,Radar Housing,Delta Circuits,M-06,Operational,Pass,None,110,61,0.12,54,Yes,No,20.0,2.4,2.1,0.86,15.7,0.84,1,13,34008,No,Yes,Yes,21,Controlled,35.5,7.1,Moderate,0.57,16,Supply Chain Constraint,Routine,False,24.7
WO-10134,Mission Systems Upgrade,Avionics Kit,Surface Treatment,Acceptance Test,Navigation Board,Summit Electronics,M-17,Operational,Pass,None,50,35,0.51,33,Yes,No,14.0,29.9,15.5,0.91,14.4,0.83,4,24,29449,Yes,No,Yes,31,Controlled,46.2,37.0,Moderate,0.57,23,Supply Chain Constraint,Moderate,False,38.0
WO-10135,Ground Sensor Platform,Radar System,Avionics Assembly,Final Assembly,Guidance Module,Vector Metals,M-14,Operational,Pass,None,113,28,0.81,44,No,No,23.2,12.2,17.0,0.94,11.6,0.87,2,11,56714,Yes,Yes,Yes,20,Controlled,41.0,16.4,Moderate,0.85,12,Supply Chain Constraint,Routine,False,27.9
WO-10136,Avionics Retrofit,UAV,Inspection,Electronics Install,Sensor Mount,Summit Electronics,M-03,Operational,Pass,None,125,52,0.42,17,No,No,2.5,9.7,3.9,0.76,15.5,0.8,1,16,40855,Yes,Yes,Yes,18,Controlled,34.5,6.9,Low,0.85,11,Yield Loss,Routine,False,22.9
WO-10137,Radar Modernization,Radar System,Machining,Electronics Install,Power Unit,Delta Circuits,M-06,Operational,Pass,None,96,72,0.16,43,Yes,No,18.1,22.4,21.7,0.74,9.8,0.87,1,39,47672,Yes,Yes,No,24,Controlled,37.1,7.4,Moderate,0.61,17,Supply Chain Constraint,Routine,False,26.8
WO-10138,Avionics Retrofit,Avionics Kit,Systems Integration,Electronics Install,Sensor Mount,Orion Plating,M-15,Down,Pass,None,114,27,0.8,26,No,Yes,15.9,24.6,10.9,0.69,5.9,0.95,3,39,4999,No,No,Yes,70,Controlled,70.0,42.0,High,0.49,55,Machine Downtime,Moderate,True,65.8
WO-10139,Tactical UAV Production,Sensor Package,Systems Integration,Subsystem Integration,Radar Housing,Delta Circuits,M-14,Operational,Pass,None,81,54,0.47,23,No,Yes,16.6,31.9,15.2,0.79,7.1,0.83,4,41,20235,Yes,No,Yes,30,Controlled,42.7,34.2,Moderate,0.67,21,Nominal,Moderate,False,35.7
WO-10140,Tactical UAV Production,Sensor Package,Final Assembly,Surface Finish,Actuator Assembly,Vector Metals,M-03,Degraded,Rework,Coating Defect,65,26,0.68,57,Yes,No,5.8,33.0,12.1,0.7,4.9,0.82,2,13,51878,No,No,Yes,63,Controlled,71.3,28.5,High,0.39,52,Supply Chain Constraint,Moderate,False,61.1
WO-10141,Mission Systems Upgrade,UAV,Avionics Assembly,Surface Finish,Navigation Board,Northline Components,M-08,Operational,Pass,None,64,32,0.46,36,No,No,5.3,33.6,11.9,0.91,11.5,0.91,2,33,46869,Yes,Yes,Yes,20,Controlled,31.2,12.5,Low,0.85,12,Nominal,Routine,False,23.4
WO-10142,Mission Systems Upgrade,UAV,Avionics Assembly,Material Prep,Actuator Assembly,Delta Circuits,M-12,Operational,Pass,None,16,71,0.72,13,No,No,10.0,20.2,13.0,0.81,11.5,0.83,5,44,57084,No,No,Yes,41,Controlled,62.3,62.3,Moderate,0.49,32,Material Shortage,High,False,52.7
WO-10143,Tactical UAV Production,UAV,Systems Integration,Electronics Install,Thermal Shield,Northline Components,M-14,Operational,Rework,Dimensional,66,28,0.7,19,No,No,20.2,10.8,16.0,0.92,3.5,0.87,2,21,19513,Yes,No,Yes,35,Controlled,46.6,18.6,Moderate,0.67,24,Nominal,Routine,False,37.2
WO-10144,Tactical UAV Production,Radar System,Final Assembly,Electronics Install,Guidance Module,Vector Metals,M-07,Degraded,Pass,None,5,55,0.41,30,Yes,Yes,8.0,35.5,16.0,0.79,3.1,0.85,4,27,48576,Yes,No,No,63,Controlled,81.7,65.4,High,0.43,51,Supply Chain Constraint,High,False,70.8
WO-10145,Radar Modernization,Sensor Package,Final Assembly,CNC Machining,Navigation Board,Delta Circuits,M-11,Operational,Pass,None,130,70,0.34,16,Yes,No,22.4,22.5,11.7,0.79,4.8,0.85,5,24,22067,Yes,Yes,Yes,24,Controlled,36.1,36.1,Moderate,0.75,16,Supply Chain Constraint,Moderate,False,30.7
WO-10146,Radar Modernization,UAV,Machining,Electronics Install,Navigation Board,Vector Metals,M-15,Degraded,Rework,Surface Finish,38,28,0.11,29,No,No,20.8,31.4,20.1,0.81,6.5,0.93,4,14,19807,Yes,No,No,41,Controlled,30.6,24.5,Low,0.53,31,Nominal,Routine,False,34.4
WO-10147,Avionics Retrofit,Radar System,Avionics Assembly,Acceptance Test,Guidance Module,Vector Metals,M-11,Operational,Rework,Surface Finish,152,70,0.87,14,No,No,14.1,2.7,3.2,0.79,6.3,0.83,5,42,71607,Yes,No,No,35,Controlled,47.6,47.6,Moderate,0.53,27,Supply Chain Constraint,High,False,41.9
WO-10148,Ground Sensor Platform,Ground Vehicle,Surface Treatment,Surface Finish,Actuator Assembly,Northline Components,M-11,Down,Rework,Dimensional,39,39,0.23,21,No,No,13.7,23.1,4.8,0.92,8.3,0.83,4,9,69091,Yes,Yes,Yes,66,Controlled,50.8,40.6,Moderate,0.85,41,Machine Downtime,Moderate,True,56.1
WO-10149,Radar Modernization,Radar System,Machining,Subsystem Integration,Flight Control Bracket,AeroForge,M-15,Down,Pass,None,132,31,0.6,28,Yes,Yes,20.8,27.6,18.8,0.74,8.0,0.89,1,15,45647,No,Yes,No,76,Controlled,81.6,16.3,High,0.43,61,Machine Downtime,Routine,True,69.3
WO-10150,Tactical UAV Production,UAV,Final Assembly,Quality Inspection,Radar Housing,Orion Plating,M-04,Operational,Pass,None,163,41,0.53,5,No,Yes,6.8,12.6,2.9,0.62,14.0,0.87,4,44,11230,Yes,No,Yes,30,Controlled,42.8,34.2,Moderate,0.67,21,Labor Constraint,Moderate,False,35.8
WO-10151,Radar Modernization,UAV,Avionics Assembly,Material Prep,Guidance Module,Northline Components,M-02,Operational,Rework,Coating Defect,60,74,0.75,14,No,No,3.0,31.3,9.0,0.68,9.6,0.95,4,34,21156,Yes,Yes,Yes,55,Controlled,68.0,54.4,High,0.85,34,Supply Chain Constraint,High,False,60.1
WO-10152,Mission Systems Upgrade,Sensor Package,Final Assembly,CNC Machining,Thermal Shield,AeroForge,M-04,Operational,Pass,None,58,34,0.21,18,No,No,12.1,20.4,3.4,0.65,14.2,0.93,3,16,69398,No,No,No,23,Controlled,24.6,14.8,Low,0.35,19,Labor Constraint,Routine,False,22.4
WO-10153,Tactical UAV Production,UAV,Avionics Assembly,CNC Machining,Radar Housing,Delta Circuits,M-03,Operational,Pass,None,120,42,0.77,58,No,Yes,21.4,13.4,1.8,0.76,7.3,0.84,4,25,61360,No,No,Yes,29,Controlled,49.0,39.2,Moderate,0.49,23,Supply Chain Constraint,Moderate,False,38.5
WO-10154,Ground Sensor Platform,Ground Vehicle,Systems Integration,CNC Machining,Flight Control Bracket,Northline Components,M-08,Operational,Rework,Coating Defect,94,36,0.56,11,Yes,Yes,5.4,34.4,7.3,0.75,7.2,0.95,5,26,54209,Yes,Yes,Yes,48,Controlled,57.1,57.1,Moderate,0.75,32,Supply Chain Constraint,High,False,53.0
WO-10155,Mission Systems Upgrade,Radar System,Inspection,Final Assembly,Power Unit,Summit Electronics,M-07,Degraded,Pass,None,92,50,0.16,35,No,Yes,22.9,4.6,7.8,0.86,10.9,0.74,1,32,24101,Yes,Yes,Yes,31,Controlled,43.5,8.7,Moderate,0.85,19,Yield Loss,Routine,False,32.7
WO-10156,Tactical UAV Production,Avionics Kit,Machining,Final Assembly,Flight Control Bracket,Summit Electronics,M-08,Down,Pass,None,30,40,0.45,37,No,No,23.3,17.9,12.4,0.81,1.9,0.93,3,4,4990,Yes,Yes,Yes,72,Elevated,72.4,50.0,High,0.85,44,Machine Downtime,High,True,68.9
WO-10157,Tactical UAV Production,Ground Vehicle,Inspection,Material Prep,Radar Housing,AeroForge,M-10,Operational,Rework,Surface Finish,119,61,0.28,35,No,No,21.7,18.4,11.3,0.71,28.9,0.78,3,21,21055,No,No,Yes,31,Controlled,36.0,21.6,Moderate,0.49,24,Yield Loss,Routine,False,31.6
WO-10158,Radar Modernization,UAV,Inspection,Electronics Install,Power Unit,Delta Circuits,M-02,Degraded,Pass,None,154,71,0.27,48,No,Yes,21.2,4.6,3.3,0.79,10.2,0.81,4,36,53806,No,No,No,33,Controlled,40.3,32.2,Moderate,0.35,28,Yield Loss,Moderate,False,35.8
WO-10159,Tactical UAV Production,Avionics Kit,Surface Treatment,Acceptance Test,Power Unit,Northline Components,M-06,Down,Pass,None,94,38,0.11,9,No,Yes,15.6,31.9,7.5,0.88,9.4,0.92,2,18,13926,Yes,No,Yes,54,Controlled,47.1,18.8,Moderate,0.67,38,Machine Downtime,Routine,True,46.0
WO-10160,Avionics Retrofit,Avionics Kit,Final Assembly,Final Assembly,Flight Control Bracket,Vector Metals,M-21,Operational,Rework,Dimensional,11,69,0.38,7,No,Yes,16.6,17.8,15.4,0.8,6.8,0.87,2,27,65120,Yes,Yes,No,53,Controlled,69.8,27.9,High,0.71,36,Material Shortage,Moderate,False,56.0
